id	Counties	scale	rank
01001	Autauga	0.78 	4
01003	Baldwin	1.82 	4
01005	Barbour	0.19 	4
01007	Bibb	-0.15 	3
01009	Blount	0.23 	4
01011	Bullock	-1.08 	3
01013	Butler	-1.16 	3
01015	Calhoun	0.22 	4
01017	Chambers	-0.34 	3
01019	Cherokee	0.64 	4
01021	Chilton	0.38 	4
01023	Choctaw	0.92 	4
01025	Clarke	1.26 	4
01027	Clay	0.21 	4
01029	Cleburne	0.21 	4
01031	Coffee	-0.66 	3
01033	Colbert	0.70 	4
01035	Conecuh	-1.00 	3
01037	Coosa	1.59 	4
01039	Covington	-0.17 	3
01041	Crenshaw	-0.91 	3
01043	Cullman	0.64 	4
01045	Dale	-0.47 	3
01047	Dallas	-0.18 	3
01049	De kalb	-1.60 	3
01051	Elmore	2.11 	4
01053	Escambia	-0.03 	3
01055	Etowah	0.96 	4
01057	Fayette	-0.38 	3
01059	Franklin	0.16 	4
01061	Geneva	-0.51 	3
01063	Greene	-0.04 	3
01065	Hale	1.43 	4
01067	Henry	0.07 	4
01069	Houston	-0.79 	3
01071	Jackson	1.25 	4
01073	Jefferson	0.51 	4
01075	Lamar	-0.85 	3
01077	Lauderdale	0.90 	4
01079	Lawrence	0.54 	4
01081	Lee	-0.24 	3
01083	Limestone	-0.42 	3
01085	Lowndes	-0.41 	3
01087	Macon	-0.56 	3
01089	Madison	-1.25 	3
01091	Marengo	-0.72 	3
01093	Marion	-0.31 	3
01095	Marshall	0.37 	4
01097	Mobile	1.52 	4
01099	Monroe	1.27 	4
01101	Montgomery	-0.28 	3
01103	Morgan	1.09 	4
01105	Perry	0.84 	4
01107	Pickens	0.13 	4
01109	Pike	-0.93 	3
01111	Randolph	0.71 	4
01113	Russell	-0.24 	3
01115	St. Clair	1.39 	4
01117	Shelby	1.12 	4
01119	Sumter	-0.48 	3
01121	Talladega	1.34 	4
01123	Tallapoosa	2.19 	4
01125	Tuscaloosa	0.50 	4
01127	Walker	0.51 	4
01129	Washington	-0.49 	3
01131	Wilcox	1.58 	4
01133	Winston	0.88 	4
04001	Apache	3.45 	5
04003	Cochise	7.13 	7
