county,scale,rank
Monroe,6.05 ,6
Dade,5.48 ,6
Martin,5.34 ,6
Lee,5.23 ,6
Glades,5.15 ,6
Palm Beach,5.14 ,6
Charlotte,5.10 ,6
Pinellas,5.05 ,6
St. Lucie,5.03 ,6
Collier,5.00 ,6
Broward,4.98 ,6
Sarasota,4.78 ,6
Indian River,4.72 ,6
Okeechobee,4.70 ,6
Manatee,4.66 ,6
Osceola,4.50 ,5
Hillsborough,4.32 ,5
Hendry,4.22 ,5
Highlands,4.14 ,5
Polk,3.98 ,5
Brevard,3.93 ,5
Hernando,3.71 ,5
Volusia,3.45 ,5
Citrus,3.43 ,5
Lake,3.40 ,5
Pasco,3.37 ,5
Seminole,3.14 ,5
St. Johns,2.98 ,5
Orange,2.96 ,5
Sumter,2.84 ,5
De Soto,2.74 ,5
Flagler,2.70 ,5
Franklin,2.66 ,5
Marion,2.59 ,5
Levy,2.47 ,5
Alachua,2.44 ,5
Dixie,2.42 ,5
Putnam,2.35 ,5
Escambia,2.34 ,5
Taylor,2.32 ,4
Duval,2.31 ,4
Gulf,2.25 ,4
Hardee,2.25 ,4
Walton,2.18 ,4
Bay,2.15 ,4
Nassau,2.04 ,4
Clay,2.01 ,4
Okaloosa,2.01 ,4
Jefferson,2.00 ,4
Wakulla,1.95 ,4
Washington,1.95 ,4
Santa Rosa,1.94 ,4
Jackson,1.76 ,4
Leon,1.75 ,4
Gadsden,1.65 ,4
Union,1.60 ,4
Bradford,1.34 ,4
Madison,1.30 ,4
Gilchrist,1.21 ,4
Calhoun,1.12 ,4
Holmes,0.89 ,4
Lafayette,0.84 ,4
Suwannee,0.70 ,4
Baker,0.65 ,4
Columbia,0.59 ,4
Hamilton,0.58 ,4
Liberty,0.36 ,4
